Client,Service Area,Expenditure Code,Paid Date,Trans No,Amount,Type of Expenditure,Supplier ID,Supplier Name
OCC,Community Services,D3413,18/07/2017,1038674 - 0,3238,Revenue,20002893,CHERWELL DISTRICT COUNCIL
OCC,Community Services,D3413,18/07/2017,1038675 - 0,3000,Revenue,20002893,CHERWELL DISTRICT COUNCIL
OCC,Community Services,D3418,25/07/2017,1038676 - 0,600,Revenue,20009730,R & R FRONTLINE SERVICES LTD
OCC,Community Services,D3418,25/07/2017,1038677 - 0,493.75,Revenue,20009730,R & R FRONTLINE SERVICES LTD
OCC,Community Services,D3411,01/08/2017,1038679 - 1,1670,Revenue,20019317,NEIL STEVENSON
OCC,Community Services,B1103,18/07/2017,1038686 - 0,2460,Revenue,20015211,FUSION LIFESTYLE
OCC,Community Services,D3418,25/07/2017,1038702 - 0,566,Revenue,20018420,SHOWSEC INTERNATIONAL LTD
OCC,Community Services,D3418,25/07/2017,1038703 - 0,566,Revenue,20018420,SHOWSEC INTERNATIONAL LTD
OCC,Community Services,D3418,25/07/2017,1038713 - 0,4542.75,Revenue,20016981,SCOPE SECURITY LTD
OCC,Community Services,D3401,18/07/2017,1038715 - 0,585,Revenue,20016215,BODY POLITIC DANCE LTD
OCC,Community Services,D3401,18/07/2017,1038728 - 0,750,Revenue,20018450,CLEAR AND CREATIVE COMMUNICATIONS
OCC,Community Services,D3802,18/07/2017,1038728 - 1,217,Revenue,20018450,CLEAR AND CREATIVE COMMUNICATIONS
OCC,Community Services,D3101,08/08/2017,1038759 - 0,725.8,Revenue,20009346,BUNNY'S
OCC,Community Services,D3401,01/08/2017,1038773 - 0,1118,Revenue,20016197,THE KING'S CENTRE LTD
OCC,Community Services,D3418,25/07/2017,1038782 - 0,566,Revenue,20018420,SHOWSEC INTERNATIONAL LTD
OCC,Community Services,B1601,01/08/2017,1038784 - 0,557.36,Revenue,20003172,RENTOKIL INITIAL SERVICES NO1
OCC,Community Services,D3001,08/08/2017,1038791 - 0,2495,Revenue,20018729,VIPA UK LTD
OCC,Community Services,D3001,08/08/2017,1038791 - 1,1247.5,Revenue,20018729,VIPA UK LTD
OCC,Community Services,D3001,08/08/2017,1038791 - 2,1247.5,Revenue,20018729,VIPA UK LTD
OCC,Community Services,D3411,01/08/2017,1038797 - 0,4027.35,Revenue,20019399,WENDY FLINT
OCC,Community Services,Y021,15/08/2017,1038860 - 0,5996,Capital,20015951,MACE LIMITED
OCC,Community Services,Y021,08/08/2017,1038861 - 0,5996,Capital,20015951,MACE LIMITED
OCC,Community Services,Y021,08/08/2017,1038862 - 0,5996,Capital,20015951,MACE LIMITED
OCC,Community Services,Y021,08/08/2017,1038863 - 0,7419.92,Capital,20015951,MACE LIMITED
OCC,Community Services,Y021,08/08/2017,1038864 - 0,5996,Capital,20015951,MACE LIMITED
OCC,Community Services,Y021,08/08/2017,1038865 - 0,5996,Capital,20015951,MACE LIMITED
OCC,Community Services,D3001,25/07/2017,1038868 - 0,510,Revenue,20018743,OXFORD SOUND & MEDIA
OCC,Community Services,D3401,08/08/2017,1038871 - 0,7630,Revenue,20017887,CREATE DEVELOPMENT
OCC,Community Services,D3401,25/07/2017,1038874 - 0,995,Revenue,20009676,FOOL'S PARADISE LTD
OCC,Community Services,D3102,01/08/2017,1038879 - 0,429,Revenue,20015952,COOLERAID LTD
OCC,Community Services,D3401,08/08/2017,1038914 - 0,750,Revenue,20019655,SATELLITE FILMS LTD
OCC,Community Services,D3401,08/08/2017,1038915 - 0,598.5,Revenue,20014881,GLL (GREENWICH LEISURE LTD)
OCC,Community Services,D3401,25/07/2017,1038932 - 0,605,Revenue,20014907,TEI WILLIAMS PRESS & ARTS MARKETING
OCC,Community Services,D3401,25/07/2017,1038933 - 0,475,Revenue,20014621,LAMPS & TUBES ILLUMINATIONS LTD
OCC,Community Services,D3418,08/08/2017,1038936 - 0,566,Revenue,20018420,SHOWSEC INTERNATIONAL LTD
OCC,Community Services,B1601,08/08/2017,1038977 - 0,686.2,Revenue,20000270,THE SHIELD GROUP
OCC,Community Services,D3413,25/07/2017,1038984 - 0,2760,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
OCC,Community Services,D3803,25/07/2017,1038995 - 0,625,Revenue,20018559,THE OXFORD BAR COMPANY LTD
OCC,Community Services,D3401,25/07/2017,1038998 - 0,750,Revenue,20016987,SOLE REBEL TAP
OCC,Community Services,D3401,15/08/2017,1039000 - 0,1350,Revenue,20019632,C-12 DANCE THEATRE
OCC,Community Services,D3401,08/08/2017,1039009 - 0,1500,Revenue,20019649,JAMES WILTON DANCE LTD.
OCC,Community Services,B1103,25/07/2017,1039011 - 0,2149,Revenue,20015211,FUSION LIFESTYLE
OCC,Community Services,B1602,01/08/2017,1039026 - 0,783.39,Revenue,20003172,RENTOKIL INITIAL SERVICES NO1
OCC,Community Services,D3102,15/08/2017,1039030 - 0,572,Revenue,20015952,COOLERAID LTD
OCC,Community Services,B1101,01/08/2017,1039035 - 0,714,Revenue,20018479,GET SUPPORT IT SERVICES LIMITED
OCC,Community Services,D3413,15/08/2017,1039049 - 0,500,Revenue,20009599,ABINGDON & WITNEY COLLEGE
OCC,Community Services,D3701,01/08/2017,1039059 - 0,1840,Revenue,20016933,OXFORD HEALTH NHS FOUNDATION TRUST
OCC,Community Services,D3104,01/08/2017,1039075 - 0,5236.47,Revenue,20017894,OTHC LEMON ZEST
OCC,Community Services,D3101,01/08/2017,1039075 - 1,2100.75,Revenue,20017894,OTHC LEMON ZEST
OCC,Community Services,D3418,15/08/2017,1039076 - 0,566,Revenue,20018420,SHOWSEC INTERNATIONAL LTD
OCC,Community Services,D3401,08/08/2017,1039083 - 0,585,Revenue,20016215,BODY POLITIC DANCE LTD
OCC,Community Services,D3401,01/08/2017,1039141 - 0,1500,Revenue,20019487,JONATHAN RUFFLE T/A FRESH FX
OCC,Community Services,D3701,08/08/2017,1039182 - 0,1500,Revenue,20004327,THE PORCH
OCC,Community Services,D3418,22/08/2017,1039235 - 0,566,Revenue,20018420,SHOWSEC INTERNATIONAL LTD
OCC,Community Services,D3418,30/08/2017,1039236 - 0,566,Revenue,20018420,SHOWSEC INTERNATIONAL LTD
OCC,Community Services,D3807,08/08/2017,1039237 - 0,676,Revenue,20019318,RJCC EVENTS
OCC,Community Services,D3101,22/08/2017,1039244 - 0,882.5,Revenue,20009224,LAMB CATERING LTD
OCC,Community Services,D3411,08/08/2017,1039260 - 0,3500,Revenue,20019294,Simon Leach Design
OCC,Community Services,D3401,22/08/2017,1039268 - 0,450,Revenue,20019272,DIVERSITI UK
OCC,Community Services,D3411,08/08/2017,1039269 - 0,3500,Revenue,20019294,Simon Leach Design
OCC,Community Services,D3705,22/08/2017,1039277 - 0,1000,Revenue,20018503,THE GIFT VOUCHER SHOP
OCC,Community Services,D3411,22/08/2017,1039307 - 0,1670,Revenue,20019317,NEIL STEVENSON
OCC,Community Services,D3413,15/08/2017,1039319 - 0,1515,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
OCC,Community Services,D3001,15/08/2017,1039322 - 0,1439.9,Revenue,20008520,NEWAUTO LTD
OCC,Community Services,D3401,15/08/2017,1039326 - 0,1350,Revenue,20016981,SCOPE SECURITY LTD
OCC,Community Services,A0622,22/08/2017,1039336 - 0,742.5,Revenue,20018929,AQUILA TRAINING SERVICES LTD
OCC,Community Services,Y021,15/08/2017,1039349 - 0,1600,Capital,20018107,PURCELL MILLER TRITTON LLP T/A PURCELL
OCC,Community Services,D3411,15/08/2017,1039350 - 0,1695,Revenue,20018107,PURCELL MILLER TRITTON LLP T/A PURCELL
OCC,Community Services,D3802,22/08/2017,1039408 - 0,695,Revenue,20013044,THE DESIGN PLACE
OCC,Community Services,D3001,19/09/2017,1039412 - 0,646.8,Revenue,20019075,SCM (WYCOMBE) LTD
OCC,Community Services,D3418,05/09/2017,1039423 - 0,3655,Revenue,20009730,R & R FRONTLINE SERVICES LTD
OCC,Community Services,D3413,15/08/2017,1039431 - 0,1335,Revenue,20002930,OXFORDSHIRE COUNTY COUNCIL
OCC,Community Services,D3401,05/09/2017,1039450 - 0,1920,Revenue,20014306,INSTITUTE OF LICENSING
OCC,Community Services,D3401,30/08/2017,1039459 - 0,750,Revenue,20017816,ENGLISH NATIONAL BALLET
OCC,Community Services,D3418,30/08/2017,1039486 - 0,675,Revenue,20009730,R & R FRONTLINE SERVICES LTD
OCC,Community Services,D3401,30/08/2017,1039496 - 0,585,Revenue,20016215,BODY POLITIC DANCE LTD
OCC,Community Services,D3411,30/08/2017,1039509 - 0,1470,Revenue,20019305,BELVEDERE PROJECT SOLUTIONS LLP
OCC,Community Services,D3811,05/09/2017,1039518 - 0,1161.21,Revenue,20018260,K R JOHNSTON
OCC,Community Services,Y021,22/08/2017,1039537 - 0,1200,Capital,20018107,PURCELL MILLER TRITTON LLP T/A PURCELL
OCC,Community Services,D3401,30/08/2017,1039591 - 0,1467.15,Revenue,20017047,COMPANY CHAMELEON LTD
OCC,Community Services,D3802,30/08/2017,1039620 - 0,849,Revenue,20016119,HITCHED LTD
OCC,Community Services,D3001,30/08/2017,1039640 - 0,666.67,Revenue,20019544,THAT EVENT COMPANY LTD
OCC,Community Services,D3401,05/09/2017,1039655 - 0,504,Revenue,20003842,LITTLEMORE COMMUNITY ASSOCIATION
OCC,Community Services,D3401,05/09/2017,1039656 - 0,829,Revenue,20003842,LITTLEMORE COMMUNITY ASSOCIATION
OCC,Community Services,D3401,19/09/2017,1039666 - 0,1147.78,Revenue,20002568,PYROTEC SERVICES LTD
OCC,Community Services,D3411,12/09/2017,1039674 - 0,1800,Revenue,20019300,Katie Norgrove T/A Cultural Consulting
OCC,Community Services,D3401,05/09/2017,1039692 - 0,745,Revenue,20005802,WDS SIGNS LTD
OCC,Community Services,D3418,05/09/2017,1039704 - 0,4212,Revenue,20016981,SCOPE SECURITY LTD
OCC,Community Services,Y021,05/09/2017,1039723 - 0,84700,Capital,20015211,FUSION LIFESTYLE
OCC,Community Services,B1103,19/09/2017,1039724 - 0,2769,Revenue,20015211,FUSION LIFESTYLE
OCC,Community Services,D3101,05/09/2017,1039727 - 0,494.35,Revenue,20017894,OTHC LEMON ZEST
OCC,Community Services,D3104,05/09/2017,1039727 - 1,4549.43,Revenue,20017894,OTHC LEMON ZEST
OCC,Community Services,A0108,05/09/2017,1039728 - 0,1770,Revenue,20018218,THE SPORT FOR STREETS INITIATIVE
OCC,Community Services,D3513,05/09/2017,1039738 - 1,440.6,Revenue,20016679,AMA BUSINESS SYSTEMS LTD
OCC,Community Services,B1601,19/09/2017,1039743 - 0,492.06,Revenue,20018021,UNISAN
OCC,Community Services,B1601,05/09/2017,1039752 - 0,595.21,Revenue,20016920,ALLIANCE DISPOSABLES LTD
OCC,Community Services,D3401,05/09/2017,1039763 - 0,2038.04,Revenue,20015780,UNDER CONSTRUCTION THEATRE
OCC,Community Services,D3804,12/09/2017,1039770 - 0,2200,Revenue,20016534,COUNTY SPORTS PARTNERSHIP NETWORK
OCC,Community Services,Y021,05/09/2017,1039772 - 0,5996,Capital,20015951,MACE LIMITED
OCC,Community Services,Y021,05/09/2017,1039773 - 0,4558,Capital,20015951,MACE LIMITED
OCC,Community Services,D3411,26/09/2017,1039797 - 0,1470,Revenue,20019305,BELVEDERE PROJECT SOLUTIONS LLP
OCC,Community Services,D3411,12/09/2017,1039807 - 0,1670,Revenue,20019317,NEIL STEVENSON
OCC,Community Services,D3401,12/09/2017,1039835 - 0,500,Revenue,20015250,OXFORD PHILHARMONIC ORCHESTRA TRUST
OCC,Community Services,Y000,19/09/2017,1039901 - 0,1440,Capital,20018257,PARK TENNIS CIC
OCC,Community Services,Y000,19/09/2017,1039902 - 0,2900,Capital,20018257,PARK TENNIS CIC
OCC,Community Services,D3401,19/09/2017,1039950 - 0,4000,Revenue,20012587,OXFORD DANCE FORUM
OCC,Community Services,D3001,26/09/2017,1039954 - 0,1606,Revenue,20003374,CITY AUDIO VISUAL
OCC,Community Services,D3411,19/09/2017,1039967 - 0,10000,Revenue,20019429,OXFORD IMPACT CONSULTANCY
OCC,Community Services,B1103,26/09/2017,1039968 - 0,2893.32,Revenue,20015973,CBG CONSULTANTS LTD
OCC,Community Services,D3411,19/09/2017,1039969 - 0,6911.5,Revenue,20016762,IAN NOLAN EVENTS LTD
OCC,Community Services,D3411,19/09/2017,1040017 - 0,2000,Revenue,20019304,Marilyn Scott
OCC,Community Services,D3401,19/09/2017,1040049 - 0,560,Revenue,20002085,FUSION-OXFORD'S COMMUNITY ARTS AGENCY LIMITED
OCC,Community Services,D3401,19/09/2017,1040072 - 0,1833.34,Revenue,20019636,OXFORD CRUISERS LTD
OCC,Community Services,D3602,19/09/2017,1040073 - 1,549.5,Revenue,20009350,APSE
OCC,Community Services,D3301,19/09/2017,1040077 - 0,420.46,Revenue,20007849,LYRECO UK LTD
OCC,Community Services,D3401,19/09/2017,1040083 - 0,1350,Revenue,20016981,SCOPE SECURITY LTD
OCC,Community Services,D3401,26/09/2017,1040115 - 0,4299.8,Revenue,20015211,FUSION LIFESTYLE
OCC,Community Services,D3413,26/09/2017,1040123 - 0,2000,Revenue,20019090,OXFORDSHIRE CRICKET
OCC,Community Services,B1601,26/09/2017,1040156 - 0,557.36,Revenue,20003172,RENTOKIL INITIAL SERVICES NO1
OCC,Community Services,D3401,26/09/2017,1040168 - 0,500,Revenue,20014907,TEI WILLIAMS PRESS & ARTS MARKETING
OCC,Community Services,Y021,26/09/2017,1040169 - 0,13130,Capital,20015951,MACE LIMITED
OCC,Community Services,D3401,26/09/2017,1040191 - 0,585,Revenue,20016215,BODY POLITIC DANCE LTD
OCC,Community Services,D3418,26/09/2017,1040210 - 0,566,Revenue,20018420,SHOWSEC INTERNATIONAL LTD
OCC,Community Services,D3418,26/09/2017,1040211 - 0,566,Revenue,20018420,SHOWSEC INTERNATIONAL LTD
OCC,Community Services,D3418,26/09/2017,1040212 - 0,566,Revenue,20018420,SHOWSEC INTERNATIONAL LTD
OCC,Community Services,D3418,26/09/2017,1040213 - 0,452.8,Revenue,20018420,SHOWSEC INTERNATIONAL LTD
OCC,Community Services,D3702,04/07/2017,46294298 - 1,500,Revenue,20009717,ARK T CENTRE
OCC,Community Services,D3702,04/07/2017,46294299 - 1,1000,Revenue,20015863,COWLEY ROAD WORKS (EAST OXFORD ACTION CHARITY)
OCC,Community Services,D3702,04/07/2017,46294329 - 1,500,Revenue,20009538,CUTTESLOWE COMMUNITY ASSOCIATION
OCC,Community Services,D3701,04/07/2017,46294330 - 1,5000,Revenue,20010071,SOUTH OXFORD ADVENTURE PLAY GROUND
OCC,Community Services,D3701,11/07/2017,46294403 - 1,2000,Revenue,20004720,THE ARCHWAY FOUNDATION
OCC,Community Services,Y021,11/07/2017,46294410 - 1,3000,Capital,20000000,GENERAL EXPENSES
OCC,Community Services,D3701,18/07/2017,46294448 - 1,50000,Revenue,20008184,CITIZENS ADVICE BUREAU
OCC,Community Services,A0108,18/07/2017,46294455 - 13,1832.52,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
OCC,Community Services,A0108,18/07/2017,46294455 - 25,1748.91,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
OCC,Community Services,A0108,18/07/2017,46294455 - 32,602.28,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
OCC,Community Services,A0108,18/07/2017,46294455 - 35,1131.39,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
OCC,Community Services,A0108,18/07/2017,46294455 - 37,224.79,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
OCC,Community Services,A0108,18/07/2017,46294455 - 42,1.57,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
OCC,Community Services,D3701,18/07/2017,46294469 - 1,20055.07,Revenue,20010077,"BLACKBIRD LEYS N""HOOD SUPPORT SCHEME"
OCC,Community Services,D3701,18/07/2017,46294483 - 1,8907.5,Revenue,20004323,ELMORE COMMUNITY SERVICES
OCC,Community Services,D3701,18/07/2017,46294484 - 1,13750,Revenue,20004327,THE PORCH
OCC,Community Services,D3701,18/07/2017,46294485 - 1,19405.75,Revenue,20011006,ASPIRE OXFORDSHIRE COMMUNITY ENTERPRISE LTD
OCC,Community Services,D3701,18/07/2017,46294503 - 1,3750,Revenue,20014454,EMMAUS OXFORD (STORE) LIMITED
OCC,Community Services,D3701,18/07/2017,46294504 - 1,1395,Revenue,20004324,THE GATEHOUSE
OCC,Community Services,D3411,25/07/2017,46294506 - 5,57,Revenue,20011499,TOPS
OCC,Community Services,D3411,25/07/2017,46294506 - 15,57,Revenue,20011499,TOPS
OCC,Community Services,D3701,18/07/2017,46294537 - 1,11962.5,Revenue,20008698,OXFORD HOMELESS PATHWAYS
OCC,Community Services,D3701,18/07/2017,46294538 - 1,625,Revenue,20016020,BIG ISSUE FOUNDATION
OCC,Community Services,D3701,18/07/2017,46294539 - 1,13750,Revenue,20004327,THE PORCH
OCC,Community Services,D3701,01/08/2017,46294540 - 1,2456.25,Revenue,20019143,ST MUNGOS
OCC,Community Services,D3702,18/07/2017,46294549 - 1,9399,Revenue,20008184,CITIZENS ADVICE BUREAU
OCC,Community Services,D3702,18/07/2017,46294553 - 1,500,Revenue,20000000,GENERAL EXPENSES
OCC,Community Services,D3702,18/07/2017,46294556 - 1,500,Revenue,20009161,ROSE HILL & DONNINGTON ADVICE CENTRE LTD
OCC,Community Services,D3701,25/07/2017,46294586 - 1,17000,Revenue,20009131,FILM OXFORD
OCC,Community Services,D3701,25/07/2017,46294587 - 1,3000,Revenue,20009538,CUTTESLOWE COMMUNITY ASSOCIATION
OCC,Community Services,D3701,25/07/2017,46294618 - 1,20694.5,Revenue,20008698,OXFORD HOMELESS PATHWAYS
OCC,Community Services,D3701,25/07/2017,46294619 - 1,13725.75,Revenue,20008698,OXFORD HOMELESS PATHWAYS
OCC,Community Services,D3702,25/07/2017,46294623 - 1,800,Revenue,20000019,GRANT PAYMENTS
OCC,Community Services,D3702,25/07/2017,46294649 - 1,900,Revenue,20000019,GRANT PAYMENTS
OCC,Community Services,D3701,08/08/2017,46294689 - 1,3125,Revenue,20016020,BIG ISSUE FOUNDATION
OCC,Community Services,D3701,01/08/2017,46294693 - 1,1000,Revenue,20000019,GRANT PAYMENTS
OCC,Community Services,D3701,01/08/2017,46294694 - 1,750,Revenue,20000019,GRANT PAYMENTS
OCC,Community Services,D3702,01/08/2017,46294698 - 1,8074.79,Revenue,20008991,ST JOHNS COLLEGE
OCC,Community Services,D3701,01/08/2017,46294711 - 1,734,Revenue,20000019,GRANT PAYMENTS
OCC,Community Services,D3702,01/08/2017,46294723 - 1,150,Revenue,20000019,GRANT PAYMENTS
OCC,Community Services,D3702,01/08/2017,46294723 - 2,350,Revenue,20000019,GRANT PAYMENTS
OCC,Community Services,D3418,01/08/2017,46294733 - 1,566,Revenue,20009730,R & R FRONTLINE SERVICES LTD
OCC,Community Services,D3702,08/08/2017,46294752 - 1,500,Revenue,20000019,GRANT PAYMENTS
OCC,Community Services,D3701,08/08/2017,46294763 - 1,500,Revenue,20000019,GRANT PAYMENTS
OCC,Community Services,D3701,15/08/2017,46294872 - 1,21869.5,Revenue,20009161,ROSE HILL & DONNINGTON ADVICE CENTRE LTD
OCC,Community Services,D3701,15/08/2017,46294873 - 1,22000,Revenue,20012189,PEGASUS THEATRE TRUST LIMITED
OCC,Community Services,D3701,15/08/2017,46294874 - 1,600,Revenue,20019678,NIGERIAN COMMUNITY IN OXFORDSHIRE
OCC,Community Services,A0965,15/08/2017,46294878 - 2,1.5,Revenue,20014779,CYCLESCHEME LIMITED
OCC,Community Services,A0965,15/08/2017,46294878 - 3,1.5,Revenue,20014779,CYCLESCHEME LIMITED
OCC,Community Services,D3411,30/08/2017,46294879 - 4,84,Revenue,20011499,TOPS
OCC,Community Services,D3411,30/08/2017,46294879 - 12,168,Revenue,20011499,TOPS
OCC,Community Services,D3701,15/08/2017,46294968 - 1,537,Revenue,20000000,GENERAL EXPENSES
OCC,Community Services,D3701,15/08/2017,46294969 - 1,537,Revenue,20000000,GENERAL EXPENSES
OCC,Community Services,D3701,22/08/2017,46294984 - 1,742.5,Revenue,20016775,THE OXFORD ACADEMY
OCC,Community Services,D3701,15/08/2017,46294986 - 1,1500,Revenue,20009385,THE PARASOL PROJECT
OCC,Community Services,D3701,15/08/2017,46294987 - 1,3000,Revenue,20012642,JSC
OCC,Community Services,D3701,15/08/2017,46294988 - 1,4545,Revenue,20012642,JSC
OCC,Community Services,D3701,15/08/2017,46294989 - 1,2398.17,Revenue,20009501,THE LEYS CDI
OCC,Community Services,D3701,22/08/2017,46295005 - 1,70178.6,Revenue,20019143,ST MUNGOS
OCC,Community Services,D3701,12/09/2017,46295006 - 1,70178.6,Revenue,20019143,ST MUNGOS
OCC,Community Services,D3703,22/08/2017,46295010 - 1,720,Revenue,20018092,SUBSTANCE 2005 LTD
OCC,Community Services,D3602,22/08/2017,46295012 - 1,875,Revenue,20014717,CSP NATIONAL NETWORK
OCC,Community Services,D3701,22/08/2017,46295018 - 1,1000,Revenue,20011181,OXFORD INTERNATIONAL LINKS
OCC,Community Services,D3701,22/08/2017,46295018 - 2,14000,Revenue,20011181,OXFORD INTERNATIONAL LINKS
OCC,Community Services,A0108,22/08/2017,46295029 - 1,435.6,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
OCC,Community Services,A0108,22/08/2017,46295029 - 6,1769.52,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
OCC,Community Services,A0108,22/08/2017,46295029 - 7,3012.54,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
OCC,Community Services,A0108,22/08/2017,46295029 - 19,2308.86,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
OCC,Community Services,A0108,22/08/2017,46295029 - 27,0.6,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
OCC,Community Services,A0108,22/08/2017,46295029 - 45,1595.85,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
OCC,Community Services,D3701,22/08/2017,46295039 - 1,13725.75,Revenue,20008698,OXFORD HOMELESS PATHWAYS
OCC,Community Services,D3701,22/08/2017,46295040 - 1,20694.5,Revenue,20008698,OXFORD HOMELESS PATHWAYS
OCC,Community Services,D3701,22/08/2017,46295041 - 1,11962.5,Revenue,20008698,OXFORD HOMELESS PATHWAYS
OCC,Community Services,D3701,22/08/2017,46295042 - 1,37498.5,Revenue,20008698,OXFORD HOMELESS PATHWAYS
OCC,Community Services,D3701,22/08/2017,46295043 - 1,12499.5,Revenue,20008698,OXFORD HOMELESS PATHWAYS
OCC,Community Services,D3701,30/08/2017,46295066 - 1,500,Revenue,20009449,OXFORDSHIRE PLAY ASSOCIATION
OCC,Community Services,D3401,30/08/2017,46295072 - 1,20000,Revenue,20003616,THAMES VALLEY POLICE AUTHORITY
OCC,Community Services,D3701,30/08/2017,46295082 - 1,10934,Revenue,20012251,OXFORDSHIRE COMMUNITY VOLUNTARY ACTION (OCVA)
OCC,Community Services,D3701,30/08/2017,46295083 - 1,26311,Revenue,20015408,A2 DOMINION NORTH LTD
OCC,Community Services,D3701,30/08/2017,46295084 - 1,2001.3,Revenue,20014469,ADAM FRENCH
OCC,Community Services,D3401,30/08/2017,46295085 - 1,525,Revenue,20000019,GRANT PAYMENTS
OCC,Community Services,D3702,30/08/2017,46295087 - 1,500,Revenue,20009273,ASYLUM WELCOME
OCC,Community Services,D3702,30/08/2017,46295088 - 1,1500,Revenue,20016942,CHERWELL PUBLISHING SERVICES LTD
OCC,Community Services,D3701,30/08/2017,46295090 - 1,2735.85,Revenue,20014469,ADAM FRENCH
OCC,Community Services,D3701,30/08/2017,46295091 - 1,3000,Revenue,20014469,ADAM FRENCH
OCC,Community Services,D3702,30/08/2017,46295109 - 1,500,Revenue,20000000,GENERAL EXPENSES
OCC,Community Services,D3411,26/09/2017,46295190 - 3,84,Revenue,20011499,TOPS
OCC,Community Services,D3411,26/09/2017,46295190 - 14,99,Revenue,20011499,TOPS
OCC,Community Services,A0108,12/09/2017,46295239 - 16,2386.42,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
OCC,Community Services,A0108,12/09/2017,46295239 - 23,1353.8,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
OCC,Community Services,A0108,12/09/2017,46295239 - 26,1574.43,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
OCC,Community Services,A0108,12/09/2017,46295239 - 30,435.63,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
OCC,Community Services,A0108,12/09/2017,46295239 - 34,1769.52,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
OCC,Community Services,A0108,12/09/2017,46295239 - 38,869.25,Revenue,20018053,REED SPECIALIST RECRUITMENT LTD
OCC,Community Services,D3701,26/09/2017,46295329 - 1,742.5,Revenue,20016775,THE OXFORD ACADEMY
OCC,Community Services,D3701,26/09/2017,46295330 - 1,1515,Revenue,20012642,JSC
OCC,Community Services,D3701,26/09/2017,46295331 - 1,1000,Revenue,20012642,JSC
OCC,Community Services,D3701,26/09/2017,46295332 - 1,911.95,Revenue,20014469,ADAM FRENCH
OCC,Community Services,D3701,26/09/2017,46295333 - 1,667.1,Revenue,20014469,ADAM FRENCH
OCC,Community Services,D3701,26/09/2017,46295334 - 1,1000,Revenue,20014469,ADAM FRENCH
OCC,Community Services,D3701,22/09/2017,46295335 - 1,1500,Revenue,20014213,ST GREGORY THE GREAT SCHOOL
OCC,Community Services,D3701,26/09/2017,46295346 - 1,10000,Revenue,20015863,COWLEY ROAD WORKS (EAST OXFORD ACTION CHARITY)
OCC,Community Services,D3401,26/09/2017,46295348 - 1,999,Revenue,20018891,OXFORD AGAINST CUTTING
OCC,Community Services,D3701,26/09/2017,46295350 - 1,998,Revenue,20017198,OXFORD POLISH ASSOCIATION
OCC,Community Services,B1501,18/07/2017,47020441 - 1,1361.58,Revenue,20002402,SOUTHERN ELECTRIC PLC
OCC,Community Services,B1501,18/07/2017,47020443 - 1,779.24,Revenue,20002402,SOUTHERN ELECTRIC PLC
OCC,Community Services,B1502,18/07/2017,47020524 - 0,2718.13,Revenue,20007602,TOTAL GAS & POWER LTD
OCC,Community Services,B1502,18/07/2017,47020527 - 1,4552.56,Revenue,20007602,TOTAL GAS & POWER LTD
OCC,Community Services,B1502,18/07/2017,47020528 - 0,921.23,Revenue,20007602,TOTAL GAS & POWER LTD
OCC,Community Services,B1502,18/07/2017,47020539 - 0,1209.08,Revenue,20007602,TOTAL GAS & POWER LTD
OCC,Community Services,B1502,18/07/2017,47020544 - 1,447.94,Revenue,20007602,TOTAL GAS & POWER LTD
OCC,Community Services,B1502,18/07/2017,47020545 - 0,2015.8,Revenue,20007602,TOTAL GAS & POWER LTD
OCC,Community Services,B1501,18/07/2017,47020552 - 1,2661.56,Revenue,20011411,NPOWER
OCC,Community Services,B1501,18/07/2017,47020553 - 0,2947.06,Revenue,20011411,NPOWER
OCC,Community Services,B1501,18/07/2017,47020556 - 0,14087.86,Revenue,20011411,NPOWER
OCC,Community Services,B1501,18/07/2017,47020557 - 1,1017.29,Revenue,20011411,NPOWER
OCC,Community Services,B1501,18/07/2017,47020560 - 0,4966.29,Revenue,20011411,NPOWER
OCC,Community Services,B1501,18/07/2017,47020564 - 1,6730.96,Revenue,20011411,NPOWER
OCC,Community Services,B1501,18/07/2017,47020567 - 0,1361.15,Revenue,20011411,NPOWER
OCC,Community Services,B1502,08/08/2017,47021031 - 0,1202.53,Revenue,20011042,KENT COUNTY COUNCIL
OCC,Community Services,B1502,22/08/2017,47021063 - 1,2584.4,Revenue,20007602,TOTAL GAS & POWER LTD
OCC,Community Services,B1502,22/08/2017,47021066 - 0,4897.22,Revenue,20007602,TOTAL GAS & POWER LTD
