Client,Service Area,Expenditure Catergory,Expenditure Code,Paid Date,Trans No,Amount,Type of Expenditure,Supplier ID,Supplier Name
OCC,HRA,Services Maintenance (Planned),B1103,31/08/2016,1029152 - 3,420,Revenue,20013614,SMS ENVIRONMENTAL LIMITED
OCC,HRA,Main Contractor,Y021,05/07/2016,1029260 - 0,797.44,Capital,20011406,HAYS SPECIALIST RECRUITMENT LTD
OCC,HRA,Rent,B1701,05/07/2016,1029264 - 1,2227,Revenue,20002952,LINCOLN COLLEGE
OCC,HRA,Main Contractor,Y021,19/07/2016,1029442 - 0,4010,Capital,20008132,ARCADIS LLP
OCC,HRA,Temporary Bureau Staffing,A0108,12/07/2016,1029492 - 0,923.15,Revenue,20018821,EDEN BROWN LTD
OCC,HRA,Temporary Bureau Staffing,A0108,12/07/2016,1029493 - 1,923.15,Revenue,20018821,EDEN BROWN LTD
OCC,HRA,Temporary Bureau Staffing,A0108,12/07/2016,1029494 - 1,923.15,Revenue,20018821,EDEN BROWN LTD
OCC,HRA,Temporary Bureau Staffing,A0108,12/07/2016,1029495 - 1,923.15,Revenue,20018821,EDEN BROWN LTD
OCC,HRA,Temporary Bureau Staffing,A0108,12/07/2016,1029496 - 1,923.15,Revenue,20018821,EDEN BROWN LTD
OCC,HRA,Temporary Bureau Staffing,A0108,12/07/2016,1029497 - 1,507,Revenue,20018821,EDEN BROWN LTD
OCC,HRA,Temporary Bureau Staffing,A0108,12/07/2016,1029498 - 1,923.15,Revenue,20018821,EDEN BROWN LTD
OCC,HRA,Temporary Bureau Staffing,A0108,12/07/2016,1029499 - 1,923.15,Revenue,20018821,EDEN BROWN LTD
OCC,HRA,Temporary Bureau Staffing,A0108,12/07/2016,1029500 - 1,923.15,Revenue,20018821,EDEN BROWN LTD
OCC,HRA,Furniture & Equipment Purchase,D3001,05/07/2016,1029550 - 0,2834.53,Revenue,20007932,FURNISHED HOMES (UNDERLEY FURNISHINGS) LTD
OCC,HRA,Main Contractor,Y021,05/07/2016,1029554 - 0,5291.38,Capital,20008132,ARCADIS LLP
OCC,HRA,Furniture & Equipment Purchase,D3001,05/07/2016,1029560 - 1,783.44,Revenue,20007932,FURNISHED HOMES (UNDERLEY FURNISHINGS) LTD
OCC,HRA,Main Contractor,Y021,19/07/2016,1029571 - 0,1071.56,Capital,20011406,HAYS SPECIALIST RECRUITMENT LTD
OCC,HRA,Furniture & Equipment Purchase,D3001,05/07/2016,1029598 - 0,2011.54,Revenue,20007932,FURNISHED HOMES (UNDERLEY FURNISHINGS) LTD
OCC,HRA,Furniture & Equipment Purchase,D3001,05/07/2016,1029599 - 0,2633.39,Revenue,20007932,FURNISHED HOMES (UNDERLEY FURNISHINGS) LTD
OCC,HRA,Replacement Furniture,D3003,05/07/2016,1029601 - 0,560,Revenue,20007932,FURNISHED HOMES (UNDERLEY FURNISHINGS) LTD
