Client,Service Area,Expenditure Catergory,Expenditure Code,Paid Date,Trans No,Amount,Type of Expenditure,Supplier ID,Supplier Name
OCC,HRA,Electricity,B1501,09/08/2016,47015660 - 0,525.5,Revenue,20002402,SOUTHERN ELECTRIC PLC
OCC,HRA,Electricity,B1501,09/08/2016,47015697 - 0,1495.83,Revenue,20002402,SOUTHERN ELECTRIC PLC
OCC,HRA,Electricity,B1501,09/08/2016,47015701 - 0,613.32,Revenue,20002402,SOUTHERN ELECTRIC PLC
OCC,HRA,Electricity,B1501,09/08/2016,47015717 - 0,505.8,Revenue,20002402,SOUTHERN ELECTRIC PLC
OCC,HRA,Electricity,B1501,09/08/2016,47015734 - 1,690.51,Revenue,20002402,SOUTHERN ELECTRIC PLC
OCC,HRA,Electricity,B1501,09/08/2016,47015778 - 1,998.48,Revenue,20002402,SOUTHERN ELECTRIC PLC
OCC,HRA,Electricity,B1501,09/08/2016,47015798 - 1,471.57,Revenue,20002402,SOUTHERN ELECTRIC PLC
OCC,HRA,Water & Sewerage Charges,B1830,17/08/2016,47015961 - 0,769.25,Revenue,20002423,THAMES WATER UTILITIES LTD
OCC,HRA,Water & Sewerage Charges,B1830,17/08/2016,47015962 - 1,715.92,Revenue,20002423,THAMES WATER UTILITIES LTD
OCC,HRA,Water & Sewerage Charges,B1830,17/08/2016,47015963 - 0,504.08,Revenue,20002423,THAMES WATER UTILITIES LTD
OCC,HRA,Electricity,B1501,17/08/2016,47015964 - 1,560.6,Revenue,20002402,SOUTHERN ELECTRIC PLC
OCC,HRA,Water & Sewerage Charges,B1830,23/08/2016,47016074 - 0,640.06,Revenue,20002423,THAMES WATER UTILITIES LTD
OCC,HRA,Water & Sewerage Charges,B1830,23/08/2016,47016120 - 1,1420.31,Revenue,20002423,THAMES WATER UTILITIES LTD
OCC,HRA,Water & Sewerage Charges,B1830,23/08/2016,47016121 - 0,944.41,Revenue,20002423,THAMES WATER UTILITIES LTD
OCC,HRA,Water & Sewerage Charges,B1830,31/08/2016,47016127 - 1,2308.13,Revenue,20002423,THAMES WATER UTILITIES LTD
OCC,HRA,Electricity,B1501,31/08/2016,47016129 - 1,725.75,Revenue,20002402,SOUTHERN ELECTRIC PLC
OCC,HRA,Electricity,B1501,31/08/2016,47016148 - 0,1042.51,Revenue,20002402,SOUTHERN ELECTRIC PLC
OCC,HRA,Electricity,B1501,31/08/2016,47016149 - 1,431.23,Revenue,20002402,SOUTHERN ELECTRIC PLC
OCC,HRA,Electricity,B1501,31/08/2016,47016236 - 1,421.46,Revenue,20002402,SOUTHERN ELECTRIC PLC
